node 1 to node 2 : 3
node 1 to node 3 : 7
node 1 to node 4 : 5
node 1 to node 5 : inf
node 1 to node 6 : inf

node 2 to node 1 : 2
node 2 to node 3 : 6
node 2 to node 4 : 4
node 2 to node 5 : inf
node 2 to node 6 : inf

node 3 to node 1 : 3
node 3 to node 2 : 1
node 3 to node 4 : 5
node 3 to node 5 : inf
node 3 to node 6 : inf

node 4 to node 1 : 5
node 4 to node 2 : 3
node 4 to node 3 : 2
node 4 to node 5 : inf
node 4 to node 6 : inf

node 5 to node 1 : 9
node 5 to node 2 : 7
node 5 to node 3 : 6
node 5 to node 4 : 4
node 5 to node 6 : 1

node 6 to node 1 : 8
node 6 to node 2 : 6
node 6 to node 3 : 5
node 6 to node 4 : 3
node 6 to node 5 : inf

